State,State (group),Latitude (generated),Longitude (generated),Percent -2012
Wisconsin,"Illinois, Indiana, Iowa and 11 more",44.394979167,-89.798426389,2205.2
South Dakota,"Illinois, Indiana, Iowa and 11 more",44.271271212,-99.319890909,2101.9
Oklahoma,"Illinois, Indiana, Iowa and 11 more",35.500658442,-97.255420779,2625.5
Ohio,"Illinois, Indiana, Iowa and 11 more",40.308371591,-82.841264773,2822.3
North Dakota,"Illinois, Indiana, Iowa and 11 more",47.392,-100.241524528,1671.1
Nebraska,"Illinois, Indiana, Iowa and 11 more",41.326997849,-99.039166667,2893.3
Missouri,"Illinois, Indiana, Iowa and 11 more",38.452100870,-92.479739130,3746.6
Minnesota,"Illinois, Indiana, Iowa and 11 more",45.514595349,-94.417924419,2497.2
Michigan,"Illinois, Indiana, Iowa and 11 more",44.039897590,-85.187519277,2686
Kentucky,"Illinois, Indiana, Iowa and 11 more",37.6260725,-85.2006225,4056.1
Kansas,"Illinois, Indiana, Iowa and 11 more",38.486952381,-98.086164762,3389.6
Iowa,"Illinois, Indiana, Iowa and 11 more",42.028320202,-93.467433333,3140.3
Indiana,"Illinois, Indiana, Iowa and 11 more",39.834643478,-86.218773913,2926.8
Illinois,"Illinois, Indiana, Iowa and 11 more",39.841195098,-89.173528431,3157.2
Wyoming,"California, Colorado, Idaho and 6 more",43.102421739,-107.150613043,596.4
Washington,"California, Colorado, Idaho and 6 more",47.238412821,-120.722146154,1140.6
Utah,"California, Colorado, Idaho and 6 more",39.643524138,-111.588251724,744.1
Oregon,"California, Colorado, Idaho and 6 more",44.504658333,-121.500638889,1000
Nevada,"California, Colorado, Idaho and 6 more",39.204888235,-117.579047059,455.3
Montana,"California, Colorado, Idaho and 6 more",46.969142857,-109.7089625,1503.2
Idaho,"California, Colorado, Idaho and 6 more",44.279297727,-114.459736364,1268.7
Colorado,"California, Colorado, Idaho and 6 more",38.9355625,-105.475625,1324.1
California,"California, Colorado, Idaho and 6 more",37.843615517,-120.732731034,1399
Texas,"Arizona, Arkansas, Louisiana and 2 more",31.657861811,-98.653864961,7660
New Mexico,"Arizona, Arkansas, Louisiana and 2 more",34.543642424,-105.874712121,834.4
Louisiana,"Arizona, Arkansas, Louisiana and 2 more",31.106430159,-91.857465079,2333.1
Arkansas,"Arizona, Arkansas, Louisiana and 2 more",34.907516,-92.433750667,2624.6
Arizona,"Arizona, Arkansas, Louisiana and 2 more",33.636646667,-111.507373333,411.6
West Virginia,"Alabama, Connecticut, Delaware and 18 more",38.810467273,-80.615045455,1930.8
Virginia,"Alabama, Connecticut, Delaware and 18 more",37.568158209,-78.526792537,3980.3
Vermont,"Alabama, Connecticut, Delaware and 18 more",44.147092857,-72.681021429,357.6
Tennessee,"Alabama, Connecticut, Delaware and 18 more",35.883786316,-86.110621053,3129.2
South Carolina,"Alabama, Connecticut, Delaware and 18 more",33.951126087,-80.983384783,1605.3
Rhode Island,"Alabama, Connecticut, Delaware and 18 more",41.65946,-71.44588,122.2
Pennsylvania,"Alabama, Connecticut, Delaware and 18 more",40.819174627,-77.618853731,2074.9
North Carolina,"Alabama, Connecticut, Delaware and 18 more",35.624972,-79.511968,3102.4
New York,"Alabama, Connecticut, Delaware and 18 more",42.551996774,-75.479711290,1695.1
New Jersey,"Alabama, Connecticut, Delaware and 18 more",40.281885714,-74.620223810,538.3
New Hampshire,"Alabama, Connecticut, Delaware and 18 more",43.49886,-71.58318,275.6
Mississippi,"Alabama, Connecticut, Delaware and 18 more",32.792817073,-89.644536585,3020.5
Massachusetts,"Alabama, Connecticut, Delaware and 18 more",42.117085714,-71.454185714,324.2
Maryland,"Alabama, Connecticut, Delaware and 18 more",39.000004167,-76.669433333,723.1
Maine,"Alabama, Connecticut, Delaware and 18 more",44.71391875,-69.4914,461
Georgia,"Alabama, Connecticut, Delaware and 18 more",32.809189937,-83.577354717,5012.4
Florida,"Alabama, Connecticut, Delaware and 18 more",28.941720896,-82.698468657,2010.5
District of Columbia,"Alabama, Connecticut, Delaware and 18 more",38.894,-76.9882,22.1
Delaware,"Alabama, Connecticut, Delaware and 18 more",39.123366667,-75.5469,91.2
Connecticut,"Alabama, Connecticut, Delaware and 18 more",41.6295125,-72.658575,199.7
Alabama,"Alabama, Connecticut, Delaware and 18 more",32.886082090,-86.707614925,2374.8
